"usuario","senha"
"32959469224","179484"
"84382137748","095487"
"69540310113","371813"
"70198336403","537746"
"17663289382","597717"
"90729312704","084711"
"09020741993","652819"
"62723569519","434068"
"84221641169","740855"
"75784280716","258090"
"28624659507","489403"
"55054064672","978352"
"31968302760","967497"
"42962155901","905771"
"02056017741","887312"
"77000453567","608634"
"62091568600","697630"
"36342532907","811942"
"86137155161","199253"
"77232998694","374964"
"78894560937","071198"
"92245290208","489717"
"33204407993","382307"
"11310981370","813989"
"01084387751","512665"
"15968605022","038757"
"74908382077","040537"
"63581530481","585966"
"43424109908","064922"
"71189402750","787781"
"25389107225","766900"
"95018571152","864306"
"25838597909","510166"
"44487195020","365948"
"28358265131","378308"
"82608610463","468227"
"26784218566","328929"
"37733668840","917324"
"98095867870","212976"
"72653893878","863046"
"72993492721","846646"
"95543037260","854188"
"11177410281","558819"
"01099602386","268003"
"12121043748","720011"
"61532229356","094305"
"67496726982","090303"
"69410960800","370750"
"36210520545","688965"
"87192170640","668437"
"14774534072","705598"
"56543978422","539852"
"58670612801","653757"
"96256399692","651428"
"49020167618","023648"
"04894096285","712099"
"64637713170","939588"
"87492936133","354934"
"03156889636","050479"
"56903397680","705826"
"76956667770","435712"
"73984995156","900825"
"14019931097","824443"
"24683986612","019538"
"08262493613","244489"
"54993377215","970969"
"87466815588","388467"
"09510163180","449216"
"90149349556","472939"
"11768422699","728359"
"88298930720","982200"
"62107060029","766710"
"16502979637","387910"
"51672792088","426566"
"07087923676","442294"
"27731865673","685064"
"65452636846","255199"
"46447332290","451447"
"04895478343","033592"
"84983886869","424836"
"90616032005","401395"
"93742065521","279218"
"14634176408","379828"
"57593246248","421336"
"61207163864","235802"
"72730961135","474281"
"67026369113","588079"
"01710571470","304950"
"89719179546","757327"
"21689952814","107590"
"82930883626","511207"
"66416874067","533005"
"87703202681","127814"
"30077093771","060505"
"06042815873","066104"
"51260057232","723219"
"88971145803","524421"
"84850209289","154240"
"28106306151","140472"
"18720086741","216926"
"27126729766","447353"
"76174271820","496333"
"60423992171","754283"
"26048347316","830337"
"63333642409","090134"
"40048405205","009752"
"43307866648","084508"
"46826356201","020313"
"38739984591","478590"
"77932305314","065061"
"50164611800","036910"
"97133828545","151417"
"13443159176","314003"
"94441074182","183298"
"06774993532","324607"
"16678945107","054474"
"93069897924","205726"
"69935011801","630422"
"94697939433","254168"
"24704196704","652412"
"09316083680","569158"
"28553627683","323099"
"75515850440","172922"
"93077477688","795603"
"99162714457","009685"
"72152024966","017011"
"26409749392","367647"
"88818770829","862669"
"34272228374","708055"
"14058642815","440082"
"01919762531","297728"
"42598240235","990972"
"72532917512","085156"
"04612381874","921450"
"95248056004","635390"
"45893029267","439019"
"38711512970","743886"
"84787443550","356830"
"04475918510","527267"
"30705043100","083801"
"06709222187","016930"
"30936874546","651683"
"01245965255","957609"
"62162517914","307881"
"08183240070","485754"
"61900008602","486538"
"87394738213","083580"
"09526347919","367260"
"77931397630","180428"
"45952160689","650034"
"95669291530","069762"
"10513222600","456882"
"65913139070","991597"
"74769842856","935464"
"31286260493","056633"
"02599506964","537257"
"34755535034","744429"
"59779456201","985049"
"65612553560","906657"
"32462721584","179391"
"28431543086","459896"
"99629902893","492068"
"31369192622","013085"
"09989406235","117764"
"12912319358","665318"
"08807647753","313717"
"72960647734","962334"
"71059644134","603539"
"51373129590","365959"
"17791465744","827162"
"15040046553","084957"
"60699292760","454621"
"03355036323","756282"
"03793928608","602923"
"79425442142","862327"
"29535593455","056520"
"60473528126","946801"
"44666273980","556762"
"31049293436","350253"
"57644352775","681505"
"04992749704","072349"
"94126313400","016000"
"69381921709","889462"
"75450586582","410487"
"84027289870","666038"
"72019753820","774181"
"64162500045","028048"
"67228820045","254408"
"73019233410","110311"
"75733115327","590391"
"47730935368","945936"
"94024491245","183128"
"12775465765","038817"
"43494772509","752474"
"05841495739","476474"
"42250201269","006018"
"88946422912","198565"
"26652802139","933322"
"33648422561","351637"
"40392082691","948321"
"05005751777","908053"
"41685519547","664033"
"73499625415","441703"
"25129935403","796331"
"30004489420","347884"
"66245421284","410307"
"24322409601","843377"
"99402191135","698585"
"08092159424","263883"
"73662061805","530464"
"82522120778","307158"
"53247439501","756663"
"34567809076","472160"
"68313067489","149768"
"01955919682","253774"
"07246226168","417022"
"24832381067","598805"
"31421211297","630892"
"55937022920","223253"
"85753152856","453540"
"74506013034","726369"
"37218386709","791912"
"96727659087","695584"
"41190478579","290783"
"46804447034","350301"
"25701128520","428686"
"44489734921","227476"
"92566986410","655818"
"23945209650","764460"
"70051570521","793706"
"18304849747","594221"
"52316062784","757719"
"24627399715","788470"
"87928876434","960651"
"13984639490","096010"
"39416113301","719241"
"59866732479","322046"
"49375611205","863220"
"06122036110","941255"
"86410537271","930415"
"70360933580","877731"
"48581071406","530348"
"29986311853","330003"
"95808801664","976166"
"06561139011","632219"
"55300497371","035969"
"10083761918","523442"
"06734011976","927800"
"17265583477","441933"
"47957655530","850008"
"99609486339","463514"
"17138527640","901518"
"87328284030","439508"
"69342937624","500928"
"22187114198","127985"
"26558678152","503015"
"26028749737","278594"
"98307714745","544296"
"11547124431","151127"
"25148748583","546894"
"10784598002","447331"
"71180995708","526065"
"21458230007","796706"
"85831406008","041270"
"45575573508","811185"
"85897153370","454783"
"13044692040","879265"
"99392982348","036669"
"22861994690","663226"
"72740783132","712389"
"31748004123","375609"
"78187268107","526302"
"73356155504","481261"
"64179906562","673425"
"12349549070","984289"
"82368267670","681731"
"30639949797","038051"
"21769060804","977318"
"76247188552","089912"
"53838519841","716121"
"46430259218","730581"
"75927188559","301090"
"98321229450","960551"
"05067472049","256094"
"00027103668","819671"
"93916753525","095621"
"18628845950","092183"
"87383965132","152158"
"67764877239","590885"
"47967909267","688394"
"45789686770","605550"
"11975959701","958937"
"59274652690","629407"
"59621019958","776541"
"33810059870","427557"
"46425590432","818977"
"41756634521","078207"
"35178697405","280534"
"92888547899","163949"
"19766309590","781211"
"99626347686","009774"
"70965552268","743807"
"96576593023","339181"
"85945147869","788204"
"20614505399","904714"
"70157026655","904488"
"30774808322","165941"
"33894908840","139175"
"25643145898","959404"
"11857291514","943737"
"18444515183","876102"
"64182440366","218193"
"31808044240","671048"
"14685379039","659603"
"40908954565","731053"
"35197409746","498506"
"72151913384","934043"
"62303660378","206103"
"01914256808","494314"
"80530732475","857765"
"95394005460","675605"
"00482280280","290963"
"06659651764","001838"
"53084467099","795090"
"62461949409","266318"
"07755177394","560599"
"63431502695","712331"
"42502788676","614722"
"17807925221","843658"
"88110687202","995245"
"00056376006","462905"
"18073598400","380159"
"11104836866","457220"
"07630666802","303774"
"16055512602","281925"
"43190659133","345979"
"37414298213","498193"
"93216679462","636317"
"19515333482","563508"
"94820266756","703454"
"10800594908","211637"
"88335918759","090126"
"69035675851","830539"
"85866592908","416517"
"43920090098","800710"
"05137997455","141860"
"81301542504","496906"
"86537502233","839618"
"40433954264","633013"
"08461764676","431496"
"12835946411","225918"
"76768448862","991922"
"41903824850","085134"
"82182941126","521147"
"40604336594","506927"
"06877365798","950794"
"11288334257","984871"
"97955873823","776186"
"34199009701","601405"
"03721489217","922669"
"62903480273","336408"
"35988312500","280120"
"91534254560","368082"
"91242721401","219565"
"70242962327","941553"
"82123511811","811228"
"96774950469","724532"
"11450863906","955044"
"96206112764","354723"
"97537690081","077847"
"58877001739","837751"
"44877865764","723473"
"84101720380","330968"
"44973566209","542589"
"94104074438","012579"
"86314949173","021904"
"00503348597","295639"
"32826826620","792062"
"23540953507","493201"
"61345179413","671753"
"65307525362","225318"
"43017754120","949857"
"17315262709","003986"
"53359934563","992232"
"80248614533","523516"
"99900042263","936349"
"19547501291","363369"
"66991605409","802486"
"88008947128","134648"
"83777263001","235096"
"88579036488","178697"
"96007570541","965996"
"90603774008","726224"
"86854179378","813032"
"88757404615","430979"
"12154389406","550545"
"87957661971","727249"
"14493186496","782875"
"60909786046","561822"
"72321281421","855590"
"69101753100","114552"
"03747071201","434876"
"32521641758","343781"
"20381399206","607971"
"99537017508","452563"
"78419366994","428504"
"39122548424","212430"
"82224812230","971888"
"31449510647","097263"
"22775228801","338075"
"65986204492","646211"
"28261933849","691886"
"45888268674","893184"
"99941959994","406181"
"17201787047","133137"
"07744407083","111223"
"43393162969","159051"
"86025281246","071829"
"38539953307","755673"
"03260412492","028425"
"66454254143","876447"
"11625912935","561051"
"06519858544","456050"
"42291462997","114590"
"69560755471","873760"
"35894109736","445686"
"89237421630","087275"
"87047764020","754841"
"75917754489","356076"
"47457602216","005563"
"04463288126","704708"
"27117160829","321617"
"99707993804","100709"
"79286670966","481413"
"99903523130","985034"
"21491175176","771839"
"74076995180","465282"
"52270407709","250288"
"93480665799","218385"
"99014786778","425807"
"84211776568","687306"
"18531612179","235767"
"15877821628","735700"
"86304181094","038968"
"53101608767","209631"
"59644360303","774031"
"08236385108","447643"
"62606457757","102356"
"63350975836","202391"
"68444414107","157731"
"48884500214","707042"
"69762710908","671826"
"51416040471","656253"
"39673902500","812397"
"43468360037","260990"
"11113026260","340257"
"43258723885","476259"
"46184834150","785531"
"84985152978","157735"
"24319745299","426731"
"69175446987","240776"
"38645998572","277641"
"21371606099","518656"
"58468082805","006513"
"98628670351","596843"
"50869316907","752245"
"06752752702","813265"
"44704581551","978901"
"33456556080","813507"
"94581513502","163028"
"00574595686","187716"
"30800208714","671402"
"60173217818","131617"
"83345856751","940186"
"59607459768","508892"
"14522323506","663474"
"80872506649","049086"
"18098228070","020096"
"01144757924","915644"
"18410910144","105483"
"02112028510","748988"
"20215956338","996483"
"25640530090","704870"
"93467891586","865080"
"68870745406","101524"
"38137961917","777803"
"75705076142","734268"
"57855877932","962345"
"61179452569","053529"
"05532465770","687533"
"46723462505","408541"
"43560244005","755510"
"45870801362","661799"
"47848901653","538309"
"09988251742","624702"
"76283704891","054199"
"09811016909","167945"
"61799765032","388086"
"22180431490","977499"
"92977469001","740158"
"11255902388","017812"
"53586036620","845447"
"25302221268","625596"
"99143457274","174694"
"64765825850","706969"
"30296127248","681661"
"19059962680","117544"
"42272677576","652584"
"22946982904","417211"
"01251130488","448377"
"35541921473","054418"
"84260285351","292166"
"63579676539","975390"
"78821239004","476972"
"42741542546","861920"
"93303093482","629576"
"96035096476","663951"
"99820804744","201477"
"87374099991","068671"
"14144741486","838232"
"37901226960","216492"
"88541868729","061377"
"72117703925","766023"
"28055359016","662051"
"21523526106","520164"
"27064344300","307632"
"64361855340","767618"
"95327156494","710971"
"05863224690","069286"
"13757831578","348424"
"26856063199","636454"
"75851073748","397336"
"55006314893","343636"
"81561595608","099650"
"17573047460","908329"
"08648726239","873859"
"71524001139","143389"
"32336979705","339425"
"69142514797","795631"
"46981694883","072138"
"55645003772","716353"
"34568892406","988567"
"03488176908","229866"
"99547129767","705914"
"31517911311","348493"
"90399856005","217774"
"47234534660","406864"
"35577754372","995039"
"65219161571","156844"
"69371574283","682065"
"40037316206","388396"
"81494390302","280209"
"22859597964","363160"
"88848512542","003232"
"93280625866","440137"
"05607633950","143149"
"77134127192","598423"
"58972888443","898951"
"54321051444","309727"
"87647238108","816883"
"32960272544","011874"
"89841219913","264880"
"28575399594","196545"
"27784819900","677038"
"03659854905","613589"
"46076017562","770496"
"00726241750","179960"
"11112720006","453620"
"47260500280","684558"
"38499448402","085604"
"70208977899","592206"
"09941632316","257414"
"08134360289","605941"
"07883005987","386296"
"25196809970","095402"
"48985032925","984658"
"20762559314","143415"
"05710027812","776760"
"26775667612","037966"
"67970537499","821798"
"47472903116","631440"
"65854223929","802250"
"96906479113","869624"
"06461055908","066812"
"84757835116","046266"
"35387412390","987733"
"24316232118","986293"
"62631786556","748017"
"26594827561","588095"
"91380114411","933119"
"69184064188","966630"
"49422531608","527762"
"44556555221","165459"
"46151871146","752074"
"91677705507","945783"
"24142938029","261827"
"77946633505","838230"
"41652858970","002223"
"71724973096","405458"
"70392617749","703452"
"60932603807","849308"
"34976826406","841820"
"13612195131","485044"
"08641234268","383908"
"52262577242","301532"
"30766122476","106452"
"19224636470","454768"
"88314644692","661404"
"38294413127","955885"
"41084112183","392257"
"12549752503","416087"
"84487546036","394600"
"09298603223","901492"
"01432280562","349296"
"97344756145","283762"
"43211324283","746661"
"74861530091","437208"
"16558764903","164929"
"63000061312","534750"
"64564942069","130790"
"94788602245","930615"
"77153247017","900111"
"01241292426","655492"
"38460685780","459695"
"91698656122","074798"
"86450769505","043142"
"10444623884","669495"
"95153963012","734015"
"11239915616","644062"
"66903890300","508305"
"23137939232","488370"
"39130801206","041741"
"40421429909","997607"
"49268326744","205190"
"08154453002","208806"
"97851800501","042177"
"03244713785","343583"
"06132590099","230387"
"48828626208","828768"
"33000456147","430467"
"03476978010","921770"
"71096741504","609920"
"42038654840","244385"
"44662595185","342943"
"18475152406","764706"
"52129882250","025531"
"43363522592","089864"
"36761026067","473034"
"65454551503","442410"
"49043805254","303585"
"55353852982","563458"
"76560605370","920600"
"80974482200","231221"
"26601787205","917668"
"34089154740","984737"
"83595795202","826840"
"90626718295","925984"
"25347048859","594339"
"70498248526","073380"
"09589884555","165305"
"05477015195","825406"
"78216067747","022134"
"91166756220","617692"
"73125346860","635812"
"96783365026","806712"
"80108253791","514471"
"15365773241","969060"
"89531576688","851423"
"49867554043","472821"
"63375031122","756905"
"65077014329","139086"
"99932450383","565759"
"86805477352","895386"
"39862135700","589566"
"65785036843","769048"
"51950173950","933930"
"98176091898","794097"
"21277777195","547720"
"45931777741","484436"
"18592329906","897235"
"13634245212","136116"
"29597339838","690297"
"89306067330","914242"
"01631891456","470167"
"05354038871","893464"
"68197685835","916229"
"66887703696","924527"
"15458815459","245540"
"76070251385","527261"
"74722808600","145421"
"33418949185","125874"
"31691393479","772741"
"49739397654","123893"
"60055329365","658742"
"70162747489","155722"
"39868686156","937145"
"95719511024","776711"
"40046519050","460675"
"35808473764","200985"
"99831905598","790598"
"32961579309","125753"
"79029829117","512660"
"29073688930","696876"
"79531072523","410671"
"00753199009","998852"
"24006775814","647239"
"45019938807","107240"
"55418812505","424870"
"04160317227","561322"
"39040931690","889227"
"44468310464","226458"
"39009250970","264476"
"64544642108","688454"
"09182284768","069000"
"59257474453","260464"
"42534658549","259133"
"78787115697","315114"
"36955060597","352785"
"05506575920","106545"
"09748864243","077833"
"22757923170","276897"
"29797825213","947195"
"29220841320","599415"
"88778386985","312283"
"88302622427","028146"
"81779838140","700984"
"56893427182","012177"
"61811574505","909425"
"92380899576","762975"
"87815888798","978556"
"68491268570","193263"
"54005349536","897888"
"77891196303","373521"
"38276683363","933625"
"27736316171","562956"
"50154709085","784454"
"21103211218","216050"
"62146641428","315248"
"34003870298","030661"
"23982833647","245673"
"47978050998","968791"
"98368368537","830298"
"72648043802","279908"
"38641434895","880709"
"81358850755","378306"
"62709876019","453484"
"35663373900","534903"
"63938186704","744142"
"27561263490","753437"
"02777352380","593391"
"15234129098","657512"
"72389859771","032201"
"05891942836","178186"
"33187631525","049298"
"85392514693","545733"
"11274945976","965512"
"73291559932","388883"
"81135493588","544333"
"32654041298","766617"
"02232891755","945739"
"58912886134","324725"
"88215347150","237181"
"67569697650","592893"
"04792124573","736499"
"24950024558","442869"
"06102307860","553287"
"26487876747","946040"
"76087190872","425093"
"79468712010","300612"
"38519476309","610823"
"94952816109","333408"
"96796307909","675327"
"90673537366","416041"
"92269725166","985115"
"92303652200","996902"
"87767750035","551481"
"45677058823","632113"
"41412803055","584058"
"84893720554","366135"
"56722478572","675996"
"38468911852","872834"
"62632699797","652050"
"53328898956","935876"
"45739405106","552435"
"27528276014","856690"
"53818253668","585944"
"89884905258","300094"
"45377298217","200246"
"68915230604","671890"
"94348325944","128118"
"59193711379","338509"
"61770284460","923565"
"63384751710","910478"
"65765821707","429643"
"54638591590","340603"
"12152907566","094887"
"30755374541","492554"
"45125440892","825247"
"50798800909","252293"
"75250118267","166650"
"87257923183","493088"
"68388043102","447408"
"84413631293","466994"
"93088474995","454852"
"13473269603","821979"
"72352856809","246868"
"67084763805","734891"
"04009494077","650283"
"66070616057","276308"
"19309226552","933179"
"08359124000","973169"
"75552521803","358247"
"41993897259","912721"
"79941771154","614001"
"28067329052","461094"
"41095614347","774415"
"92967701491","704326"
"82164787048","138351"
"76165093809","135493"
"29527598800","069921"
"41414822936","720086"
"94556514592","452093"
"53818643377","791079"
"93274723142","282875"
"77563585893","421986"
"90062838270","980523"
"14018574266","818211"
"04623602966","967871"
"32172859052","848172"
"28856848015","761046"
"82478980207","810990"
"35045898094","572876"
"49137659065","769392"
"92929138408","328642"
"34938318628","840384"
"91020968621","694469"
"40756022223","199315"
"73179708670","771935"
"34924036544","854858"
"50501994335","800036"
"92823616675","821798"
"68306836294","129968"
"96624520957","048992"
"35731784990","719829"
"01853481220","952943"
"55900697770","252422"
"75123703934","911879"
"51504148754","406005"
"49645545706","007822"
"82584963795","234017"
"62739960409","731224"
"37811344157","046626"
"98950033070","603862"
"42991672366","825763"
"36828932021","710143"
"03646457252","935770"
"68371096852","726407"
"50303578580","363967"
"94635758710","251902"
"19684611595","988807"
"27992663390","902675"
"66640069016","994057"
"27844940395","407483"
"05254680210","029346"
"88415385030","725185"
"95855849139","610593"
"52048109608","623922"
"92540950604","440606"
"21301838594","169651"
"97709077587","938151"
"10902227777","570297"
"22695320230","106184"
"61190818361","832634"
"30210246880","613852"
"83075887404","318603"
"90126170819","697863"
"78070338946","240363"
"57692339740","499491"
"34326785250","113079"
"24968747314","920565"
"69825505168","638895"
"08503691779","822415"
"40087806886","204829"
"09434499445","064185"
"57361665187","393635"
"81375841882","161885"
"88226964415","273534"
"72737518474","587333"
"63418873103","388565"
"52505973512","352511"
"61124135316","153246"
"90385345070","856590"
"54677573859","542761"
"64574121149","554778"
"56264476447","757099"
"97377387050","419327"
"27923942269","271808"
"75874014667","990421"
"65203324298","387024"
"67130356391","168301"
"20033307717","038851"
"52190920736","488465"
"85546080116","916272"
"24198853509","810092"
"30359940480","407291"
"51072341603","925585"
"74568342961","831154"
"18453306508","201043"
"17105407107","101591"
"61560426284","508707"
"67038609807","192052"
"10607429003","622856"
"90557118611","141204"
"17754154226","423112"
"75142267885","228745"
"76186887103","842140"
"34553815109","175103"
"68038004663","656741"
"97933766781","733331"
"83967698696","277477"
"29965491801","592776"
"31852619848","199254"
"57001064696","060066"
"33522046242","098607"
"81399068830","240351"
"23954715341","515531"
"71061297551","727561"
"55908666939","967758"
"06925001975","339019"
"35085955102","180619"
"12821336322","970896"
"25374971638","816858"
"88740073530","262219"
"74442818665","333227"
"11744219400","087090"
"06742694629","546108"
"67684456938","651703"
"84877901272","495905"
"19312305360","560654"
"27521624130","556151"
"10823475743","502360"
"21259875890","543349"
"55102108778","174766"
"99738143985","330038"
"34312304904","133669"
"38284148854","240803"
"70585648760","824179"
"90577814842","519540"
"62814302477","404006"
"24526036358","630391"
"77460786055","261844"
"72981192655","980416"
"12381280251","594231"
"31484271815","822500"
"44348901236","027897"
"22398921379","438659"
"69590271014","217534"
"87529841769","649931"
"97073247916","787118"
"65829299763","301975"
"28758940561","526067"
"95343989004","414991"
"32941273166","842394"
"72951014546","546413"
"54664338104","265099"
"24911650664","853127"
"03989888110","038108"
"21979879923","510154"
"37766727900","381910"
"06981747472","773451"
"08055735859","124832"
"58083038695","266918"
"17911361843","945657"
"97881668067","867750"
"71068916656","743368"
"39802057622","048288"
"57702782501","908475"
"51504983947","941835"
"92948287359","672541"
"86642987853","039712"
"67643043515","905168"
"46399024412","385637"
"32649587326","209355"
"31615266275","202988"
"41908305347","331025"
"74502911933","282320"
"20294865829","296039"
"40037191314","289728"
"58565697177","431290"
"50749624710","278475"
"06920629208","390182"
"86668781853","245251"
"25569418555","653543"
"17915772104","810885"
"32897828323","183321"
"15402434190","802622"
"80628630859","967527"
"51810949106","936701"
"10469859300","097777"
"54642403736","355870"
"58569212160","289202"
"95202784198","382121"
"45006085169","222399"
"54198210446","083912"
"72703493398","984777"
"42955513253","008040"
"85992909753","555108"
"32814537245","233058"
"43636985000","006260"
"64351911077","486478"
"75157898401","869016"
"15658209323","527275"
"86700414210","515042"
"23709616948","405833"
"42691891852","876763"
"34829900695","236937"
"32162005662","927126"
"42761173724","189697"
"04237499006","195201"
"01690876034","311260"
"24067826460","833194"
"98050468500","519035"
"52123425893","240080"
"61635585376","426002"
"81171131984","833541"
"92140008758","537958"
"54110560390","396423"
"35978565350","652316"
"78790266900","379424"
"32942840552","647812"
"63502595640","272975"
"63212806826","069670"
"07829278407","976827"
"11232089729","235362"
"28578957555","984831"
"11026666457","085260"
"36155003939","403172"
"15873699070","839509"
"84375072784","966020"
"57469992294","449043"
"38662805132","326778"
"03414518864","850100"
"86642213831","172398"
"75983179683","414179"
"88399432008","680511"
"15727594375","552800"
"27571335272","580675"
"01179095561","189861"
"84988437744","155891"
"77210625941","108657"
"70460550683","770775"
"99220255588","125901"
"10783880910","828315"
"38092644233","796022"
"42500164985","715652"
"96375958806","686166"
"77952486403","985088"
"75968901489","234107"
"87051902741","512849"
"19935603431","579155"
"15948410390","808845"
"12745952315","753444"
"18699437676","904793"
"55253101047","313486"
"95332062095","015559"
"46729876638","916896"
"21953687482","649532"
"17411517674","583115"
"30464762219","616072"
"04329450674","141597"
"90031816088","253998"
"78570120095","193830"
"17767399656","239883"
"50205235778","421807"
"93795102928","847422"
"82366157665","442355"
"95852535001","659162"
"00472882996","689338"
"17949136294","702880"
"98558278563","572174"
"65661892705","964224"
"82539668658","700085"
"76723601912","256435"
"89942489789","747209"
"56498648619","993212"
"09962060940","468219"
"72494306299","366623"
"19912521021","104322"
"70313428808","854004"
"79223951755","337753"
"95975208424","637638"
"17296497343","217759"
"88971544503","284230"
"63651564487","198043"
"44147191002","685101"
"84952012913","175651"
"11149817291","267316"
"35794520965","813835"
"46570302647","136977"
"34681969974","585070"
"19152505600","385316"
"46306038167","623154"
"62420448626","573886"
"47166911956","557342"
"01434065669","838052"
"81892345013","902059"
"97706996832","178706"
"27538720820","111188"
"63580650688","644017"
"89367307381","995160"
"50296657301","248211"
"23466185351","204590"
"79820448166","994266"
"36820988605","404420"
"72640959751","114264"
"56393748885","797853"
"60747969043","466967"
"32033662403","565931"
"80142061506","160756"
"56967624687","813023"
"94044055157","495072"
"91137632887","814273"
"42350681998","136147"
"64487420938","416050"
"18129817241","802926"
"47552601914","627882"
"96227680249","972217"
"22320830391","367386"
"46727237980","068209"
"25859963360","844746"
"48032145303","567043"
"67514837086","987189"
"99004655123","367217"
"73805034806","547312"
"17143901520","935974"
"21122805896","042210"
"97443303920","133144"
"97511728022","371369"
"17455992742","380077"
"69560504983","991901"
"35149237604","886520"
"73868639500","802444"
"82023542774","538797"
"44232171126","697991"
"55059430634","293099"
"24406657622","657339"
"96431808088","554654"
"46234627650","362161"
"48414112161","514936"
"41391797329","799661"
"29894297005","355012"
"44185711085","662311"
"11206812001","755992"
"17152264708","960974"
"65296208773","019517"
"79993877115","722648"
"79954879161","920001"
